Simu_round	Time_Greedy	Time_exhaus	Number_Greedy	Number_exhaus	Info	greedy_PE	exhaus_PE	greedy_PIC	exhaus_PIC
1640	0	0	0	0	Both_failed	0	0	0	0
1641	0	0	1	1		0.6717,0.5141,0.4124,0.5327	0.4124,0.5141,0.6717,0.5327	0.6756,0.5862,0.4662,0.576	0.4662,0.5862,0.6756,0.576
1642	0	0	1	1	Greedy_contained	0.6493,0.5233,0.4527,0.427,0.5131	0.5233,0.427,0.4527,0.4677	0.672,0.535,0.4992,0.4918,0.5495	0.535,0.4918,0.4992,0.5087
1643	0	0	0	0	Both_failed	0	0	0	0
1644	0	0	0	0	Both_failed	0	0	0	0
1645	0	0	1	1		0.7454,0.4527,0.5901,0.5961	0.4527,0.5901,0.7454,0.5961	0.7446,0.4992,0.6102,0.618	0.4992,0.6102,0.7446,0.618
1646	0	0	1	1		0.5141,0.5233,0.4518,0.4964	0.5233,0.4518,0.5141,0.4964	0.5862,0.535,0.45,0.5237	0.535,0.45,0.5862,0.5237
1647	0	0	2	2		0.7522,0.5616,0.5901,0.6346;0.7522,0.5616,0.6501,0.6546	0.5901,0.5616,0.7522,0.6346;0.6501,0.5616,0.7522,0.6546	0.73,0.5958,0.6102,0.6453;0.73,0.5958,0.642,0.6559	0.6102,0.5958,0.73,0.6453;0.642,0.5958,0.73,0.6559
1648	0	0	0	0	Both_failed	0	0	0	0
1649	0	0	0	0	Both_failed	0	0	0	0
1650	0	0	2	2		0.8808,0.4518,0.6663;0.8808,0.4124,0.6466	0.4518,0.8808,0.6663;0.8808,0.4124,0.6466	0.8442,0.45,0.6471;0.8442,0.4662,0.6552	0.45,0.8442,0.6471;0.8442,0.4662,0.6552
1651	0	0	0	0	Both_failed	0	0	0	0
1652	0	0	1	1		0.6717,0.5616,0.6166	0.6717,0.5616,0.6166	0.6756,0.5958,0.6357	0.6756,0.5958,0.6357
1653	0	0	1	1		0.6654,0.7522,0.2995,0.5724	0.7522,0.6654,0.2995,0.5724	0.6918,0.73,0.3142,0.5787	0.73,0.6918,0.3142,0.5787
1654	0	0	0	0	Both_failed	0	0	0	0
1655	0	0	0	0	Both_failed	0	0	0	0
1656	0	0	0	0	Both_failed	0	0	0	0
1657	0	0	0	0	Both_failed	0	0	0	0
1658	0	0	1	1		0.2995,0.5901,0.5616,0.4837	0.5616,0.2995,0.5901,0.4837	0.3142,0.6102,0.5958,0.5067	0.5958,0.3142,0.6102,0.5067
