Simu_round	Time_Greedy	Time_exhaus	Number_Greedy	Number_exhaus	Info	greedy_PE	exhaus_PE	greedy_PIC	exhaus_PIC
2311	0	0	0	0	Both_failed	0	0	0	0
2312	0	0	0	0	Both_failed	0	0	0	0
2313	0	0	0	0	Both_failed	0	0	0	0
2314	0	0	0	0	Both_failed	0	0	0	0
2315	0	0	0	0	Both_failed	0	0	0	0
2316	0	0	0	0	Both_failed	0	0	0	0
2317	0	0	2	2		0.6717,0.5141,0.5901,0.6149,0.5977;0.6717,0.5141,0.5901,0.5901,0.5915	0.6717,0.6149,0.5141,0.5901,0.5977;0.6717,0.5141,0.5901,0.5901,0.5915	0.6756,0.5862,0.6102,0.6454,0.6294;0.6756,0.5862,0.6102,0.6102,0.6205	0.6756,0.6454,0.5862,0.6102,0.6294;0.6756,0.5862,0.6102,0.6102,0.6205
2318	0	0	0	0	Both_failed	0	0	0	0
2319	0	0	0	0	Both_failed	0	0	0	0
2320	0	0	0	0	Both_failed	0	0	0	0
2321	0	0	0	0	Both_failed	0	0	0	0
2322	0	0	0	0	Both_failed	0	0	0	0
2323	0	0	2	3	Exhaus	0.8808,0.6717,0.2995,0.6173;0.8808,0.6717,0.7522,0.7682	0.2995,0.6717,0.8808,0.6173;0.2995,0.8808,0.7522,0.6442;0.6717,0.8808,0.7522,0.7682	0.8442,0.6756,0.3142,0.6113;0.8442,0.6756,0.73,0.7499	0.3142,0.6756,0.8442,0.6113;0.3142,0.8442,0.73,0.6295;0.6756,0.8442,0.73,0.7499
2324	0	0	0	0	Both_failed	0	0	0	0
2325	0	0	0	0	Both_failed	0	0	0	0
2326	0	0	1	1		0.8808,0.6717,0.4124,0.655	0.8808,0.6717,0.4124,0.655	0.8442,0.6756,0.4662,0.662	0.8442,0.6756,0.4662,0.662
2327	0	0	2	2		0.8808,0.6717,0.427,0.6598;0.8808,0.7522,0.427,0.6867	0.6717,0.427,0.8808,0.6598;0.7522,0.427,0.8808,0.6867	0.8442,0.6756,0.4918,0.6705;0.8442,0.73,0.4918,0.6887	0.6756,0.4918,0.8442,0.6705;0.73,0.4918,0.8442,0.6887
2328	0	0	0	0	Both_failed	0	0	0	0
2329	0	0	0	0	Both_failed	0	0	0	0
2330	0	0	0	0	Both_failed	0	0	0	0
2331	0	0	0	0	Both_failed	0	0	0	0
2332	0	0	0	0	Both_failed	0	0	0	0
2333	0	0	0	0	Both_failed	0	0	0	0
2334	0	0	0	0	Both_failed	0	0	0	0
2335	0	0	0	0	Both_failed	0	0	0	0
2336	0	0	0	0	Both_failed	0	0	0	0
2337	0	0	0	0	Both_failed	0	0	0	0
2338	0	0	0	0	Both_failed	0	0	0	0
2339	0	0	0	0	Both_failed	0	0	0	0
2340	0	0	1	1		0.7057,0.7029,0.6717,0.6934	0.7057,0.7029,0.6717,0.6934	0.673,0.7014,0.6756,0.6833	0.673,0.7014,0.6756,0.6833
2341	0	0	0	0	Both_failed	0	0	0	0
