IDX	Exhaus	First	Statistic
506	5	5	PIC
507	3	3	PIC
508	3	3	PIC
509	3	4	PIC
510	3	4	PIC
511	2	2	PIC
512	4	7	PIC
513	4	9	PIC
514	2	2	PIC
515	3	4	PIC
516	3	3	PIC
517	2	3	PIC
518	3	5	PIC
519	2	5	PIC
520	2	4	PIC
521	3	6	PIC
522	3	4	PIC
523	2	3	PIC
524	2	3	PIC
525	3	8	PIC
526	3	6	PIC
527	2	2	PIC
528	3	4	PIC
529	3	5	PIC
530	3	4	PIC
531	3	8	PIC
532	3	6	PIC
533	3	4	PIC
534	2	4	PIC
535	2	3	PIC
536	2	2	PIC
537	3	3	PIC
538	2	3	PIC
539	3	5	PIC
540	2	4	PIC
541	3	3	PIC
542	3	3	PIC
543	3	5	PIC
544	4	8	PIC
545	3	4	PIC
546	2	5	PIC
547	3	7	PIC
548	3	8	PIC
549	2	2	PIC
550	2	2	PIC
551	3	4	PIC
552	3	5	PIC
553	3	7	PIC
554	3	3	PIC
555	3	5	PIC
556	3	5	PIC
557	3	6	PIC
558	3	5	PIC
559	3	7	PIC
560	3	4	PIC
561	2	6	PIC
562	2	4	PIC
563	3	10	PIC
564	3	7	PIC
565	3	4	PIC
566	2	2	PIC
567	3	3	PIC
568	3	6	PIC
569	3	6	PIC
570	2	2	PIC
571	4	7	PIC
572	2	5	PIC
573	3	7	PIC
574	3	7	PIC
575	2	2	PIC
576	2	4	PIC
577	2	2	PIC
578	3	5	PIC
579	2	8	PIC
580	2	3	PIC
581	3	4	PIC
582	2	2	PIC
583	3	5	PIC
584	3	8	PIC
585	2	6	PIC
586	2	4	PIC
587	3	5	PIC
588	2	4	PIC
589	2	6	PIC
590	2	5	PIC
591	3	3	PIC
592	2	4	PIC
593	3	4	PIC
594	3	7	PIC
595	3	9	PIC
596	2	2	PIC
597	4	7	PIC
598	3	5	PIC
599	3	7	PIC
600	2	4	PIC
601	3	4	PIC
602	3	6	PIC
603	3	10	PIC
604	2	2	PIC
605	3	5	PIC
606	3	5	PIC
607	3	10	PIC
608	3	3	PIC
609	2	5	PIC
610	3	7	PIC
611	2	2	PIC
612	2	4	PIC
613	2	3	PIC
614	2	3	PIC
615	2	2	PIC
616	2	2	PIC
617	2	2	PIC
618	2	3	PIC
619	3	6	PIC
620	3	8	PIC
621	2	2	PIC
622	2	3	PIC
623	2	2	PIC
624	2	5	PIC
625	2	3	PIC
626	3	3	PIC
627	2	3	PIC
628	2	3	PIC
629	3	4	PIC
630	3	8	PIC
631	3	6	PIC
632	2	3	PIC
633	3	4	PIC
634	2	2	PIC
635	2	3	PIC
636	3	4	PIC
637	3	5	PIC
